comprador_unico,n_items_sum,lead_min,n_categorias_sum,n_sellers_sum,reviews_buenas,freight_total_sum,frequency,recencia,compras_x_mes,monto_rango,installments_max,monto_sum,ordenes_180d,review_max,recencia_rel,ordenes_90d,monto_60d,freight_ratio_sum,monto_90d,cat_div_ratio,dow_distintos,meses_activo,n_items_max,ordenes_60d,ordenes_30d,cuotas_uso_ratio
1,2.0,24.0,1.0,1.0,1.0,34.54,1.0,68.0,0.4411764705882353,0.0,1.0,753.94,1.0,5.0,1.0,1.0,0.0,0.04801223241590214,753.94,1.0,1.0,1.0,2.0,0.0,0.0,0.0
1,1.0,10.0,1.0,1.0,0.0,14.1,1.0,38.0,0.7894736842105263,0.0,2.0,64.09,1.0,3.0,1.0,1.0,64.09,0.28205641128225645,64.09,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,13.0,1.0,1.0,1.0,16.28,1.0,63.0,0.47619047619047616,0.0,5.0,91.18,1.0,4.0,1.0,1.0,0.0,0.21735647530040053,91.18,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,2.0,6.0,1.0,1.0,1.0,23.7,1.0,8.0,1.0,0.0,3.0,103.5,1.0,5.0,1.0,1.0,103.5,0.29699248120300753,103.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0
1,1.0,6.0,1.0,1.0,1.0,12.89,1.0,15.0,1.0,0.0,1.0,211.89,1.0,5.0,1.0,1.0,211.89,0.06477386934673367,211.89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,10.0,1.0,1.0,0.0,16.79,1.0,75.0,0.4,0.0,1.0,41.69,1.0,3.0,1.0,1.0,0.0,0.6742971887550201,41.69,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0,2.0,7.0,2.0,2.0,2.0,33.32,2.0,21.0,0.2542372881355932,70.28,2.0,407.22,1.0,5.0,0.6500317460317461,1.0,136.37,0.20853994481276228,136.37,0.5,1.0,2.0,1.0,1.0,1.0,1.0
1,1.0,4.0,1.0,1.0,1.0,16.67,1.0,118.0,0.2542372881355932,0.0,7.0,76.67,1.0,4.0,1.0,0.0,0.0,0.2778333333333334,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,22.0,1.0,1.0,0.0,13.52,1.0,68.0,0.4411764705882353,0.0,5.0,84.43,1.0,1.0,1.0,1.0,0.0,0.19066422225356086,84.43,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,13.0,1.0,1.0,1.0,11.95,1.0,64.0,0.46875,0.0,1.0,76.85,1.0,5.0,1.0,1.0,0.0,0.18412942989214173,76.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,4.0,1.0,1.0,1.0,7.78,1.0,81.0,0.37037037037037035,0.0,1.0,42.27,1.0,4.0,1.0,1.0,0.0,0.22557262974775297,42.27,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,24.0,1.0,1.0,0.0,24.06,1.0,68.0,0.4411764705882353,0.0,8.0,194.06,1.0,3.0,1.0,1.0,0.0,0.14152941176470588,194.06,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,28.0,1.0,1.0,1.0,17.84,1.0,79.0,0.379746835443038,0.0,1.0,102.74,1.0,5.0,1.0,1.0,0.0,0.21012956419316842,102.74,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,5.0,1.0,1.0,1.0,7.78,1.0,19.0,1.0,0.0,1.0,56.78,1.0,5.0,1.0,1.0,56.78,0.15877551020408165,56.78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,4.0,1.0,1.0,1.0,11.85,1.0,55.0,0.5454545454545455,0.0,5.0,61.75,1.0,5.0,1.0,1.0,61.75,0.2374749498997996,61.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,32.0,1.0,1.0,0.0,17.26,1.0,54.0,0.5555555555555556,0.0,1.0,162.25,1.0,5.0,1.0,1.0,162.25,0.11904269259948963,162.25,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,12.0,1.0,1.0,1.0,14.1,1.0,63.0,0.47619047619047616,0.0,1.0,34.0,1.0,4.0,1.0,1.0,0.0,0.7085427135678393,34.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,2.0,5.0,2.0,2.0,2.0,21.189999999999998,2.0,17.0,0.43795620437956206,10.510000000000005,1.0,108.99,2.0,5.0,0.6500317460317461,1.0,49.239999999999995,0.4814756096922892,49.239999999999995,0.5,2.0,2.0,1.0,1.0,1.0,0.0
1,1.0,30.0,1.0,1.0,1.0,16.35,1.0,57.0,0.5263157894736842,0.0,1.0,101.34,1.0,5.0,1.0,1.0,101.34,0.19237557359689378,101.34,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,24.0,0.0,1.0,1.0,24.05,1.0,29.0,1.0,0.0,3.0,192.95,1.0,4.0,1.0,1.0,192.95,0.1423919478981646,192.95,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,18.0,1.0,1.0,1.0,17.64,1.0,26.0,1.0,0.0,7.0,72.64,1.0,5.0,1.0,1.0,72.64,0.32072727272727275,72.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,12.0,1.0,1.0,1.0,20.98,1.0,66.0,0.45454545454545453,0.0,1.0,90.88,1.0,5.0,1.0,1.0,0.0,0.30014306151645204,90.88,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,17.0,1.0,1.0,1.0,15.25,1.0,61.0,0.49180327868852464,0.0,1.0,85.24,1.0,5.0,1.0,1.0,0.0,0.21788826975282186,85.24,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,14.0,1.0,1.0,1.0,17.52,1.0,112.0,0.26785714285714285,0.0,5.0,172.42,1.0,5.0,1.0,0.0,0.0,0.1131052291801162,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,16.0,1.0,1.0,1.0,23.22,1.0,67.0,0.44776119402985076,0.0,3.0,44.37,1.0,5.0,1.0,1.0,0.0,1.097872340425532,44.37,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,23.0,1.0,1.0,1.0,23.49,1.0,43.0,0.6976744186046512,0.0,1.0,190.48,1.0,4.0,1.0,1.0,190.48,0.14066710581471942,190.48,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,2.0,1.0,1.0,1.0,7.78,1.0,98.0,0.30612244897959184,0.0,1.0,33.77,1.0,5.0,1.0,0.0,0.0,0.29934590227010394,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2.0,8.0,1.0,1.0,1.0,33.98,1.0,99.0,0.30303030303030304,0.0,1.0,383.98,1.0,4.0,1.0,0.0,0.0,0.09708571428571428,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
1,1.0,6.0,1.0,1.0,1.0,12.93,1.0,83.0,0.3614457831325301,0.0,1.0,97.87,1.0,5.0,1.0,1.0,0.0,0.1522251000706381,97.87,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,9.0,1.0,1.0,1.0,14.2,1.0,68.0,0.4411764705882353,0.0,1.0,79.2,1.0,4.0,1.0,1.0,0.0,0.21846153846153846,79.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2.0,7.0,1.0,1.0,1.0,18.68,1.0,86.0,0.3488372093023256,0.0,8.0,138.48,1.0,4.0,1.0,1.0,0.0,0.15592654424040067,138.48,1.0,1.0,1.0,2.0,0.0,0.0,1.0
1,1.0,7.0,1.0,1.0,1.0,7.78,1.0,46.0,0.6521739130434783,0.0,7.0,72.68,1.0,5.0,1.0,1.0,72.68,0.11987673343605547,72.68,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,14.0,1.0,1.0,0.0,15.79,1.0,86.0,0.3488372093023256,0.0,1.0,43.78,1.0,3.0,1.0,1.0,0.0,0.564130046445159,43.78,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,14.0,1.0,1.0,1.0,17.7,1.0,58.0,0.5172413793103449,0.0,1.0,82.59,1.0,5.0,1.0,1.0,82.59,0.27276930189551546,82.59,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,6.0,1.0,1.0,1.0,15.35,1.0,55.0,0.5454545454545455,0.0,5.0,100.34,1.0,5.0,1.0,1.0,100.34,0.1806094834686434,100.34,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0,2.0,4.0,2.0,2.0,1.0,22.16,2.0,73.0,0.4316546762589928,24.630000000000003,1.0,122.05000000000001,2.0,4.0,0.6500317460317461,1.0,0.0,0.442428470222731,73.34,0.5,2.0,2.0,1.0,0.0,0.0,0.0
1,2.0,17.0,1.0,1.0,1.0,27.56,1.0,54.0,0.5555555555555556,0.0,1.0,499.4,1.0,5.0,1.0,1.0,499.4,0.05840963038318074,499.4,1.0,1.0,1.0,2.0,1.0,0.0,0.0
1,2.0,10.0,1.0,1.0,0.0,25.52,1.0,62.0,0.48387096774193544,0.0,5.0,145.5,1.0,1.0,1.0,1.0,0.0,0.21270211701950323,145.5,1.0,1.0,1.0,2.0,0.0,0.0,1.0
