customer_unique_id,is_churn,recency_obs,frequency_obs,ticket_prom,avg_items,avg_freight,freight_ratio,n_sellers,avg_cuotas,max_cuotas,lead_time_prom,delay_max,pct_boleto,pct_credito,pct_finde,n_categorias,review_score,reg_CentroOeste,reg_Nordeste,reg_Norte,reg_Sudeste,reg_Sur
6fbc7cdadbb522125f4b27ae9dee4060,1,60.0,1.0,205.74,2.0,45.76,0.2860357544693087,1.0,1.0,1.0,25.0,-5.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
8537b738200120f21bfa4dea14b3e7d5,1,185.0,1.0,49.59,1.0,12.69,0.3439024390243902,1.0,1.0,1.0,7.0,-11.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
8e230bd8305ed73c1b300633eeebfa08,1,137.0,1.0,30.49,1.0,12.69,0.7129213483146067,1.0,1.0,1.0,6.0,-14.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
fe22d9ef4dc744b3be63f4fda1146de7,1,111.0,1.0,77.64,1.0,18.65,0.31615528055602643,1.0,7.0,7.0,20.0,-12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
fd358179adc6171c9c6c51e0d91e6b68,1,33.0,1.0,174.68,1.0,34.78,0.24860614724803431,1.0,10.0,10.0,22.0,-11.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2f46f781c0179582d951e58cbd68b725,1,45.0,1.0,116.95,1.0,26.95,0.29944444444444446,1.0,2.0,2.0,12.0,-15.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
8a975e5f2211cfb1b910c039421e4dfe,1,77.0,1.0,57.3,1.0,17.6,0.4433249370277078,1.0,1.0,1.0,7.0,-14.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
ade2a262fe6c4dd556b2a221e1b27b5a,1,28.0,1.0,64.08,1.0,9.09,0.1653027823240589,1.0,3.0,3.0,2.0,-11.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
58f93aac906cdbdb0ff96b3224422d0c,1,113.0,1.0,41.43,1.0,9.94,0.31565576373451887,1.0,1.0,1.0,14.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
15818985dbcfa443935b42d3afcadb76,1,66.0,1.0,61.0,1.0,15.1,0.3289760348583878,1.0,2.0,2.0,14.0,-12.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
30638e9176bb2e8c6edf015710f8c8fa,1,17.0,1.0,236.92,1.0,57.92,0.32357541899441344,1.0,1.0,1.0,16.0,-15.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
58cdef5233eec8a8b4691865a257229c,1,120.0,1.0,320.01,1.0,57.51,0.21908571428571427,1.0,10.0,10.0,3.0,-14.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
8522849f103f0c4f01ff87fa53bcf2ab,1,157.0,1.0,154.44,1.0,13.54,0.09609652235628104,1.0,2.0,2.0,3.0,-9.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
9a45a1329d6d0d958bd15bbd2f619275,1,3.0,1.0,59.6,1.0,16.6,0.386046511627907,1.0,2.0,2.0,15.0,-7.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
da9731584b5894c687262f350ac86bec,1,167.0,1.0,271.2,1.0,51.2,0.23272727272727273,1.0,10.0,10.0,19.0,-20.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
d0a6b16b246f9250bfef28b28e6eb166,1,203.0,1.0,110.3,1.0,11.3,0.11414141414141415,1.0,1.0,1.0,5.0,-15.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
9d14977959925b8018ed3534d9c93858,1,2.0,1.0,35.09,1.0,15.1,0.7553776888444222,1.0,3.0,3.0,11.0,-11.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
d7e771496e85a920dd61c0eb2b1f0a32,1,97.0,1.0,77.57,1.0,17.67,0.294991652754591,1.0,5.0,5.0,18.0,-15.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
022e9ef39a8047a24a813f57ad382b94,1,79.0,1.0,647.54,1.0,37.54,0.061540983606557374,1.0,10.0,10.0,8.0,-11.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
cee4856c8a2c855360b1aa32e204a412,1,148.0,1.0,216.63,1.0,56.64,0.3540221263828989,1.0,1.0,1.0,14.0,-28.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
c49f37b63acdd80a2378e78c4e0cc1d4,1,13.0,1.0,21.41,1.0,11.85,1.2395397489539748,1.0,2.0,2.0,7.0,-15.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
